YEAR,TEAM,TEAM_short,Payroll,Salary Cap,Ovr_salary_cap,Age_avg,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,Champ,Champ_cum,Champ_cum_local,MVP,MVP_cum,All_star,All_NBA,Gs_H,TOTAL_H,AVG_H,Gs_A,AVG_A,TOTAL_overall,AVG_overall,TOTAL_H_YOY,AVG_H_YOY,AVG_A_YOY,TOTAL_overall_YOY,AVG_overall_YOY2
2001,Atlanta Hawks,Hawks,58968213,35500000,1,26.1,25,57,26,56,-5.21,-0.34,-5.55,98.7,104.3,-5.6,91.9,0.272,0.14,0.5,0.456,15.5,28.9,0.206,0.472,13.8,70.8,0.249,Philips Arena,560330,13667,0,1,0,0,0,0,0,41,560324,13666,41,16403,1232870,15035,0,0,0,0,0
2001,Boston Celtics,Celtics,68977578,35500000,1,25.9,36,46,35,47,-2.13,-0.26,-2.4,101.4,103.7,-2.3,92.6,0.338,0.252,0.521,0.473,14.7,25.3,0.25,0.493,16,72.7,0.256,FleetCenter,629201,15346,0,16,16,0,0,0,0,41,629201,15346,41,16436,1303062,15891,0,0,0,0,0
2001,Brooklyn Nets,Nets,53906347,35500000,1,27.5,26,56,26,56,-5.05,-0.25,-5.3,100,105.5,-5.5,91.8,0.328,0.165,0.504,0.452,13.9,25.7,0.249,0.488,14.9,70,0.258,Continental Airlines Arena,556573,13575,0,0,0,0,0,1,1,41,566077,13806,41,16085,1225572,14946,0,0,0,0,0
2001,Chicago Bulls,Bulls,29606189,35500000,0,28.2,46,36,48,34,2.1,-0.65,1.45,101.8,99.5,2.3,89.4,0.33,0.151,0.506,0.457,13.7,29.8,0.246,0.456,14.1,74.5,0.222,Charlotte Coliseum,615424,15010,0,6,6,0,0,1,0,41,888654,21674,41,16336,1558410,19005,0,0,0,0,0
2001,Cleveland Cavaliers,Cavaliers,35500000,35500000,0,23.2,15,67,16,66,-9.1,0.01,-9.09,97.2,107.3,-10.1,89.3,0.298,0.148,0.495,0.45,15.1,26.6,0.22,0.499,14.3,70.3,0.254,United Center,888654,21674,0,0,0,0,0,1,0,41,650775,15872,41,16064,1309376,15968,0,0,0,0,0
2001,Dallas Mavericks,Mavericks,39297129,35500000,1,26.9,30,52,28,54,-4.24,-0.23,-4.48,100.3,104.9,-4.6,91.2,0.312,0.101,0.509,0.459,15.4,29.7,0.239,0.477,14.1,71.1,0.248,Gund Arena,650775,15873,0,0,0,0,0,2,1,41,680138,16588,41,15761,1326350,16175,0,0,0,0,0
2001,Denver Nuggets,Nuggets,46441558,35500000,1,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,Reunion Arena,680238,16591,0,0,0,0,0,0,0,41,619300,15104,41,16403,1291828,15754,0,0,0,0,0
2001,Detroit Pistons,Pistons,74007738,35500000,1,27.9,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,-2.6,92.6,0.286,0.21,0.511,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,619300,15105,0,2,2,0,0,1,1,41,607323,14812,41,16397,1279528,15604,0,0,0,0,0
2001,Golden State Warriors,Warriors,87395140,35500000,1,27.1,32,50,36,46,-1.7,-0.39,-2.08,100,101.8,-1.8,94.7,0.325,0.162,0.498,0.453,14.2,29.3,0.234,0.466,14,72.2,0.233,The Palace of Auburn Hills,607323,14813,0,3,1,0,0,0,0,41,591981,14438,41,16058,1250336,15248,0,0,0,0,0
2001,Houston Rockets,Rockets,51538658,35500000,1,26.6,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,-9.6,94.1,0.282,0.134,0.47,0.429,13.9,33.3,0.199,0.504,15,69.7,0.227,The Arena in Oakland,591981,14439,0,2,2,0,0,1,0,41,518555,12647,41,16714,1203760,14680,0,0,0,0,0
2001,Indiana Pacers,Pacers,57215938,35500000,1,26.7,45,37,48,34,2.29,0.42,2.71,106.7,104.2,2.5,90.4,0.321,0.217,0.538,0.492,14,27.5,0.244,0.475,12.6,71.9,0.206,Compaq Center,518555,12648,0,0,0,0,0,1,1,41,733444,17888,41,16508,1410236,17198,0,0,0,0,0
2001,LA Clippers,Clippers,52189220,35500000,1,27.7,41,41,40,42,-0.2,-0.57,-0.77,102,102.2,-0.2,89.4,0.312,0.18,0.519,0.471,14.5,27,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,731800,17849,0,0,0,0,0,0,0,41,599448,14620,41,15823,1248204,15222,0,0,0,0,0
2001,Los Angeles Lakers,Lakers,40475338,35500000,1,24.3,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,-3.2,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,0.466,12,71.1,0.217,STAPLES Center,601587,14673,1,13,8,0,0,3,3,41,776336,18935,41,19628,1581042,19281,0,0,0,0,0
2001,Memphis Grizzlies,Grizzlies,37459860,35500000,1,29.2,56,26,51,31,3.38,0.37,3.74,108.4,104.8,3.6,91.7,0.349,0.191,0.535,0.498,13.3,31.1,0.238,0.468,12.2,72.5,0.234,STAPLES Center,776336,18935,0,0,0,0,0,0,0,41,563218,13737,41,15822,1211878,14779,0,0,0,0,0
2001,Miami Heat,Heat,46266289,35500000,1,30.9,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,2.6,87.1,0.299,0.221,0.515,0.469,13.7,24.3,0.227,0.46,15.3,72.7,0.214,AmericanAirlines Arena,678186,16541,0,0,0,0,0,1,1,41,677186,16516,41,17046,1376042,16781,0,0,0,0,0
2001,Milwaukee Bucks,Bucks,51085458,35500000,1,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.276,0.218,0.542,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,Bradley Center,683125,16662,0,1,1,0,0,1,0,41,683125,16661,41,16584,1363086,16623,0,0,0,0,0
2001,Minnesota Timberwolves,Timberwolves,73472329,35500000,1,27.4,47,35,45,37,1.35,0.46,1.81,105.2,103.7,1.5,91.8,0.253,0.131,0.523,0.482,13,28.6,0.199,0.478,14.2,71.9,0.238,Target Center,717371,17497,0,0,0,0,0,1,0,41,717371,17496,41,16787,1405644,17142,0,0,0,0,0
2001,New Orleans Pelicans,Pelicans,38313749,35500000,1,29.8,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,3,86.7,0.279,0.18,0.523,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,Madison Square Garden (IV),810283,19763,0,0,0,0,0,0,0,41,615424,15010,41,16500,1291910,15755,0,0,0,0,0
2001,New York Knicks,NY Knicks,49780549,35500000,1,26,43,39,44,38,0.99,-0.6,0.39,103.2,102.1,1.1,93.2,0.301,0.196,0.513,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,TD Waterhouse Centre,605031,14757,0,2,2,0,0,0,0,41,810283,19763,41,17680,1535122,18721,0,0,0,0,0
2001,Oklahoma City Thunder,Thunder,53893860,35500000,1,27.9,44,38,41,41,0.02,0.52,0.55,105.6,105.6,0,91.6,0.299,0.176,0.53,0.491,14.3,29.1,0.219,0.488,13.9,69.8,0.199,KeyArena at Seattle Center,640847,15630,0,1,0,0,0,1,1,41,640847,15630,41,16497,1317166,16063,0,0,0,0,0
2001,Orlando Magic,Magic,47488500,35500000,1,28.2,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,4.7,90.6,0.351,0.124,0.518,0.468,14.7,31.2,0.262,0.46,14.5,72.5,0.186,First Union Center,805692,19651,0,0,0,0,0,0,0,41,605031,14756,41,16810,1294206,15783,0,0,0,0,0
2001,Philadelphia 76ers,76ers,52274842,35500000,1,28.6,51,31,48,34,2.21,0.42,2.63,100.3,98,2.3,93.1,0.292,0.156,0.506,0.46,14.1,27.3,0.221,0.46,16.3,73.7,0.252,America West Arena,737586,17990,0,3,2,1,6,2,2,41,805692,19651,41,18582,1567512,19116,0,0,0,0,0
2001,Phoenix Suns,Suns,57819318,35500000,1,30.1,50,32,53,29,4.2,0.33,4.52,106.5,101.8,4.7,89.1,0.296,0.165,0.539,0.497,14.8,30,0.225,0.47,14.3,72.4,0.223,Rose Garden Arena,831376,20277,0,0,0,0,0,1,0,41,737586,17989,41,17157,1440986,17573,0,0,0,0,0
2001,Portland Trail Blazers,Trail Blazers,51478707,35500000,1,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,6,94.4,0.298,0.194,0.529,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,ARCO Arena (II),709997,17317,0,1,1,0,0,1,0,41,831385,20277,41,17037,1529874,18657,0,0,0,0,0
2001,Sacramento Kings,Kings,59085969,35500000,1,29.5,58,24,63,19,7.76,0.16,7.92,106.6,98,8.6,89.6,0.374,0.175,0.541,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,Alamodome,913176,22273,0,1,0,0,0,0,0,41,709997,17317,41,18438,1465914,17877,0,0,0,0,0
2001,San Antonio Spurs,Spurs,42363018,35500000,1,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,2.5,90.9,0.285,0.167,0.51,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,793256,19348,0,1,1,0,0,2,2,41,913175,22272,41,16690,1597442,19481,0,0,0,0,0
2001,Toronto Raptors,Raptors,48899840,35500000,1,32,53,29,55,27,4.7,0.31,5,107.6,102.4,5.2,89.8,0.363,0.135,0.546,0.497,15.1,30.2,0.273,0.473,15.6,73.2,0.301,Delta Center,792196,19322,0,0,0,0,0,0,0,41,793256,19347,41,17611,1515278,18479,0,0,0,0,0
2001,Utah Jazz,Jazz,55086140,35500000,1,26.2,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,-6.2,91.7,0.289,0.145,0.51,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,563218,13737,0,0,0,0,0,1,1,41,792196,19321,41,16989,1488710,18155,0,0,0,0,0
2001,Washington Wizards,Wizards,29691907,35500000,0,27,19,63,23,59,-6.67,-0.08,-6.75,100.6,107.8,-7.2,92.7,0.348,0.131,0.514,0.46,15.7,29.7,0.264,0.503,14.1,71.8,0.236,MCI Center,638653,15577,0,1,0,0,0,0,0,41,638653,15576,41,15872,1289368,15724,0,0,0,0,0
2002,Atlanta Hawks,Hawks,54262017,42500000,1,25.7,33,49,29,53,-4.23,-0.18,-4.41,101.8,106.4,-4.6,91.9,0.294,0.181,0.517,0.471,14.6,27.5,0.225,0.495,14.1,70.9,0.218,Philips Arena,506110,12344,0,1,0,0,0,0,0,41,506110,12344,41,16315,1174978,14329,-9.68,-9.67,-0.54,-4.7,-4.7
2002,Boston Celtics,Celtics,75193712,42500000,1,26.2,49,33,48,34,2.21,-0.46,1.75,103.4,101,2.4,92.5,0.291,0.289,0.52,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,FleetCenter,659751,16091,0,16,16,0,0,0,0,41,659751,16091,41,17576,1380306,16833,4.86,4.85,6.94,5.93,5.93
2002,Brooklyn Nets,Nets,56596369,42500000,1,26.1,52,30,53,29,4.16,-0.49,3.67,104,99.5,4.5,91.8,0.28,0.175,0.515,0.476,13.4,29.2,0.206,0.459,14.9,71.6,0.213,Continental Airlines Arena,564194,13761,0,0,0,0,0,1,1,41,564194,13760,41,16403,1236724,15082,-0.33,-0.33,1.98,0.91,0.91
2002,Chicago Bulls,Bulls,33849932,42500000,0,28.3,44,38,44,38,0.96,-0.4,0.57,104.3,103.3,1,89.7,0.32,0.151,0.513,0.466,13.3,30.6,0.238,0.465,13.3,72.2,0.226,Charlotte Coliseum,462738,11286,0,6,6,0,0,0,0,41,776311,18934,41,16000,1432294,17467,-12.64,-12.64,-2.06,-8.09,-8.09
2002,Cleveland Cavaliers,Cavaliers,42500000,42500000,0,25.5,21,61,18,64,-8.54,0.02,-8.52,98.2,107.6,-9.4,90.5,0.302,0.134,0.499,0.456,14.6,26.6,0.218,0.497,13.7,71.4,0.239,United Center,776311,18934,0,0,0,0,0,0,0,41,596115,14539,41,15809,1244268,15174,-8.4,-8.4,-1.59,-4.97,-4.97
2002,Dallas Mavericks,Mavericks,51525207,42500000,1,26,29,53,31,51,-3.33,-0.19,-3.52,104.6,108.2,-3.6,90.3,0.301,0.156,0.524,0.477,13.8,28.9,0.232,0.493,12.3,72.8,0.226,Gund Arena,596115,14539,0,0,0,0,0,2,1,41,802783,19580,41,17049,1501748,18314,18.03,18.04,8.17,13.22,13.22
2002,Denver Nuggets,Nuggets,49999445,42500000,1,27.6,57,25,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.288,0.237,0.553,0.507,11.3,26.1,0.232,0.485,12.9,70.7,0.239,American Airlines Center,802783,19580,0,0,0,0,0,0,0,41,633846,15459,41,16396,1306096,15928,2.35,2.35,-0.04,1.1,1.1
